id,first_name,last_name,birth_date,website,bio
0,Daniel,Ortiz,2001-05-10,https://tx.ag/lmsa,Yes
1,J.R.R,Tolkien,1892-01-03,http://www.tolkienestate.com/,"John Ronald Reuel Tolkien: writer, artist, scholar, linguist. Known to millions around the world as the author of The Lord of the Rings, Tolkien spent most of his life teaching at the University of Oxford where he was a distinguished academic in the fields of Old and Middle English and Old Norse. His creativity, confined to his spare time, found its outlet in fantasy works, stories for children, poetry, illustration and invented languages and alphabets."
2,J.K,Rowling,1965-07-31,http://www.jkrowling.com,"Although she writes under the pen name J.K. Rowling, pronounced like rolling, her name when her first Harry Potter book was published was simply Joanne Rowling. Anticipating that the target audience of young boys might not want to read a book written by a woman, her publishers demanded that she use two initials, rather than her full name. "
3,F. Scott,Fitzgerald,1896-09-24,,"Francis Scott Key Fitzgerald was an American writer of novels and short stories, whose works have been seen as evocative of the Jazz Age, a term he himself allegedly coined. He is regarded as one of the greatest twentieth century writers. Fitzgerald was of the self-styled Lost Generation, Americans born in the 1890s who came of age during World War I. He finished four novels, left a fifth unfinished, and wrote dozens of short stories that treat themes of youth, despair, and age"
4,Frank,Herbert,1920-08-08,http://www.dunenovels.com/,"He is best known for the novel Dune and its five sequels. The Dune saga, set in the distant future and taking place over millennia, dealt with themes such as human survival and evolution, ecology, and the intersection of religion, politics, and power, and is widely considered to be among the classics in the field of science fiction."
5,Masami,Yuki,1957-12-19,http://www.yukimasami.com/,"Yuki graduated from Kutchan High School. He is a member of the artist group known as Headgear. In 1991, his manga Mobile Police Patlabor received the 36th Shogakukan Manga Award for shōnen.[1]"
6,Gabriel ,Márquez,1927-03-06,,"Gabriel José de la Concordia Garcí­a Márquez was a Colombian novelist, short-story writer, screenwriter and journalist. Garcí­a Márquez, familiarly known as Gabo in his native country, was considered one of the most significant authors of the 20th century. In 1982, he was awarded the Nobel Prize in Literature."
7,Harper,Lee,1926-04-28,http://www.harperlee.com,"Harper Lee, known as Nelle, was born in the Alabama town of Monroeville, the youngest of four children of Amasa Coleman Lee and Frances Cunningham Finch Lee. Her father, a former newspaper editor and proprietor, was a lawyer who served on the state legislature from 1926 to 1938. As a child, Lee was a tomboy and a precocious reader, and enjoyed the friendship of her schoolmate and neighbor, the young Truman Capote."
8,George,Orwell,1903-06-25,http://www.george-orwell.org/,"Eric Arthur Blair, better known by his pen name George Orwell, was an English author and journalist. His work is marked by keen intelligence and wit, a profound awareness of social injustice, an intense opposition to totalitarianism, a passion for clarity in language, and a belief in democratic socialism."
9,C.S.,Lewis,1898-11-29,http://www.cslewis.com/,"Clive Staples Lewis was one of the intellectual giants of the twentieth century and arguably one of the most influential writers of his day. He was a Fellow and Tutor in English Literature at Oxford University until 1954. He was unanimously elected to the Chair of Medieval and Renaissance Literature at Cambridge University, a position he held until his retirement. He wrote more than thirty books, allowing him to reach a vast audience, and his works continue to attract thousands of new readers every year. His most distinguished and popular accomplishments include Mere Christianity, Out of the Silent Planet, The Great Divorce, The Screwtape Letters, and the universally acknowledged classics The Chronicles of Narnia. To date, the Narnia books have sold over 100 million copies and been transformed into three major motion pictures."
10,John,Steinbeck,1902-02-27,http://www.steinbeck.org/,"John Steinbeck III was an American writer. He wrote the Pulitzer Prize-winning novel The Grapes of Wrath, published in 1939 and the novella Of Mice and Men, published in 1937. In all, he wrote twenty-five books, including sixteen novels, six non-fiction books and several collections of short stories. "
