id,author_id,title,description,isbn,cover_url,country,language,genre
1,20,A game of thrones,n the novel recounting events from various points of view Martin introduces the plot-lines of the noble houses of Westeros the Wall and the Targaryens. The novel has inspired several spin-off works including several games.,553103547,https://upload.wikimedia.org/wikipedia/en/9/93/AGameOfThrones.jpg,United States,English,High fantasy
2,1,The Hobbit,In a hole in the ground there lived a hobbit. Not a nasty dirty wet hole filled with the ends of worms and an oozy smell nor yet a dry bare sandy hole with nothing in it to sit down on or to eat: it was a hobbit-hole and that means comfort.,9780400000000,"https://images-na.ssl-images-amazon.com/images/I/61C3342j0HL._SX363_BO1,204,203,200_.jpg",United Kingdom,English,High fantasy
3,1,The lord of the rings: fellowship of the ring,Bilbo celebrates his eleventy-first birthday and leaves the Shire suddenly leaving the Ring to Frodo Baggins his cousin[c] and heir. Neither hobbit is aware of the Ring's origin but the wizard Gandalf suspects it is a Ring of Power. Seventeen years later Gandalf tells Frodo that he has confirmed that the Ring is the one lost by the Dark Lord Sauron long ago and counsels him to take it away from the Shire. Gandalf leaves promising to return by Frodo's birthday and accompany him on his journey but fails to do so.,9780550000000,https://m.media-amazon.com/images/I/41gHG-a2OEL._SL160_.jpg,United Kingdom,English,High fantasy
4,1,The lord of the rings: the two towers,Frodo recovers in Rivendell under Elrond's care. The Council of Elrond discusses the history of Sauron and the Ring. Strider is revealed to be Aragorn the heir of Isildur. Isildur had cut the One Ring from Sauron's hand in the battle ending the Second Age but refused to destroy it claiming it for himself. The Ring had been lost when Isildur was killed finally ending up in Bilbo's possession after his meeting with Gollum described in The Hobbit. Gandalf reports that the chief wizard Saruman has betrayed them and is now working to become a power in his own right. Gandalf was captured by Saruman but escaped explaining why he had failed to return to meet Frodo as he had promised.,9780360000000,https://m.media-amazon.com/images/I/51MCZQ7pj1L._SL160_.jpg,United Kingdom,English,High fantasy
5,1,The lord of the rings: the return of the king,A party of large Orcs Uruk-hai sent by Saruman and other Orcs sent by Sauron and led by Grishnákh attack the Fellowship. Boromir tries to protect Merry and Pippin from the Orcs but they kill him and capture the two hobbits. Aragorn Gimli and Legolas decide to pursue the Orcs taking Merry and Pippin to Saruman. In the kingdom of Rohan the Orcs are killed by Riders of Rohan led by Éomer. Merry and Pippin escape into Fangorn Forest where they are befriended by Treebeard the oldest of the tree-like Ents. Aragorn Gimli and Legolas track the hobbits to Fangorn. There they unexpectedly meet Gandalf.,9780550000000,https://m.media-amazon.com/images/I/41ky3l8VUNL._SL160_.jpg,United Kingdom,English,High fantasy
6,4,Dune,Dune is set in the distant future amidst a feudal interstellar society in which various noble houses control planetary fiefs. It tells the story of young Paul Atreides whose family accepts the stewardship of the planet Arrakis. While the planet is an inhospitable and sparsely populated desert wasteland it is the only source of melange or spice a drug that extends life and enhances mental abilities. Melange is also necessary for space navigation which requires a kind of multidimensional awareness and foresight that only the drug provides. As melange can only be produced on Arrakis control of the planet is a coveted and dangerous undertaking. The story explores the multilayered interactions of politics religion ecology technology and human emotion as the factions of the empire confront each other in a struggle for the control of Arrakis and its spice.,9780440000000,https://upload.wikimedia.org/wikipedia/en/thumb/d/de/Dune-Frank_Herbert_%281965%29_First_edition.jpg/220px-Dune-Frank_Herbert_%281965%29_First_edition.jpg,United States,English,Science ficition
7,6,One hundred years of solitude,multi-generational story of the Buendía family whose patriarch José Arcadio Buendía founded the (fictitious) town of Macondo. T,9780060000000,https://m.media-amazon.com/images/I/5164gibO9ZL._SL160_.jpg,Colombia,Spanish,Magic realism
8,5,Birdy the mighty,Birdy Cephon Altera is a Federation agent chasing interplanetary criminals to the planet Earth. While in pursuit of one such criminal she accidentally kills a high school boy named Tsutomu Senkawa. However there is a way to keep him alive. He ends up being merged into Birdy's body and must remain so until the repair of his body is complete. So Tsutomu is stuck sharing a body with an attractive strong and impulsive space police agent while trying to keep his family and friends from finding out about Birdy. In the meantime Birdy continues her investigation. Together they take on a secretive group of evil aliens planning to perform experiments on the unsuspecting inhabitants of Earth.,9784090000000,https://m.media-amazon.com/images/I/51KevXz5SKL._SL160_.jpg,Japan,Japanese,Science ficition
9,17,The Metamorphosis,Gregor Samsa wakes up one morning to find himself transformed into a monstrous vermin. He initially considers the transformation to be temporary and slowly ponders the consequences of this metamorphosis. Stuck on his back and unable to get up and leave the bed Gregor reflects on his job as a traveling salesman and cloth merchant which he characterizes as being full of temporary and constantly changing human relationships which never come from the heart. He sees his employer as a despot and would quickly quit his job if he were not his family's sole breadwinner and working off his bankrupt father's debts. While trying to move Gregor finds that his office manager the chief clerk has shown up to check on him indignant about Gregor's unexcused absence. Gregor attempts to communicate with both the manager and his family but all they can hear from behind the door is incomprehensible vocalizations. Gregor laboriously drags himself across the floor and opens the door. The clerk upon seeing the transformed Gregor flees the apartment. Gregor's family is horrified and his father drives him back into his room injuring his side by shoving him when he gets stuck in the doorway.,9781560000000,https://m.media-amazon.com/images/I/41E7vV3AAlL._SL160_.jpg,Austria,German,Horror
10,15,The giving tree,The book follows the lives of an apple tree and a boy who develop a relationship with one another. The tree is very giving and the boy evolves into a taking teenager a middle-aged man and finally an elderly man. Despite the fact that the boy ages in the story the tree addresses the boy as Boy his entire life.,9780060000000,https://upload.wikimedia.org/wikipedia/en/thumb/7/79/The_Giving_Tree.jpg/200px-The_Giving_Tree.jpg,United States,English,Children's picture
